iter	RMSE
789	1.83546845
790	1.831100177
791	1.829142952
792	1.8286407
793	1.825823826
794	1.8244201
795	1.823466053
796	1.821208057
797	1.819031469
798	1.818202244
799	1.815206944
800	1.811450147
801	1.808481636
802	1.804597626
803	1.801858096
804	1.798560537
805	1.793024233
806	1.789814675
807	1.785651217
808	1.783144196
809	1.780455464
810	1.778714732
811	1.777282074
812	1.771814207
813	1.769749985
814	1.76777381
815	1.765991717
816	1.764104147
817	1.763671242
818	1.763460933
819	1.760886942
820	1.759790064
821	1.757528847
822	1.757039755
823	1.755741935
824	1.754103711
825	1.752337558
826	1.751881162
827	1.750706015
828	1.745566106
829	1.743464757
830	1.736848966
831	1.734567697
832	1.731779286
833	1.729088632
834	1.725924916
835	1.722660024
836	1.71789799
837	1.716104078
838	1.712901043
839	1.711663018
840	1.710416172
841	1.707948111
842	1.706664867
843	1.705954726
844	1.702782298
845	1.699631431
846	1.699080606
847	1.698343654
848	1.696398409
849	1.695547714
850	1.692696007
851	1.691639543
852	1.689272494
853	1.686863368
854	1.684162629
855	1.683182592
856	1.681254248
857	1.678639059
858	1.678392773
859	1.674534958
860	1.672634089
861	1.669775595
862	1.666614293
863	1.666086928
864	1.665543091
865	1.662610289
866	1.660083815
867	1.659840696
868	1.657023333
869	1.656646292
870	1.652562702
871	1.650461892
872	1.648751327
873	1.646174366
874	1.64485161
875	1.641244498
876	1.63850328
877	1.636338052
878	1.63310765
879	1.630726633
880	1.628960152
881	1.627558272
882	1.626082872
883	1.623352307
884	1.621783537
885	1.618646287
886	1.615899358
887	1.614788395
888	1.612148652
889	1.607553071
890	1.606289639
891	1.604317119
892	1.602002058
893	1.599809457
894	1.599355149
895	1.597636862
896	1.594793994
897	1.593223653
898	1.589261147
899	1.588756104
900	1.583936824
901	1.581748294
902	1.578650071
903	1.578372647
904	1.576605452
905	1.576379753
906	1.575906067
907	1.574325118
908	1.573926799
909	1.57193426
910	1.570163169
911	1.567922128
912	1.567464153
913	1.566061167
914	1.561722597
915	1.560935931
916	1.558005937
917	1.556233623
918	1.553521231
919	1.551980174
920	1.54803133
921	1.547541483
922	1.547211341
923	1.544578877
924	1.543949398
925	1.543265661
926	1.540693705
927	1.536888689
928	1.535857111
929	1.53332184
930	1.532269532
931	1.530087781
932	1.528785773
933	1.527637105
934	1.524819553
935	1.523758212
936	1.522777698
937	1.521247414
938	1.518233719
939	1.515735549
940	1.513924492
941	1.510730978
942	1.509703466
943	1.509280531
944	1.508881078
945	1.506743624
946	1.505697612
947	1.504042655
948	1.502736927
949	1.502543365
950	1.49976596
951	1.498014176
952	1.49685774
953	1.495861784
954	1.493899682
955	1.492390775
956	1.491162731
957	1.490095197
958	1.488049387
959	1.485959722
960	1.483903298
961	1.479361783
962	1.478007085
963	1.477204405
964	1.476321723
965	1.474314726
966	1.47254003
967	1.469382424
968	1.469324693
969	1.468954778
970	1.467483684
971	1.466290195
972	1.465872767
973	1.46469705
974	1.462162893
975	1.4610756
976	1.459137362
977	1.458406561
978	1.457538022
979	1.455612297
980	1.453396735
981	1.451464736
982	1.449715599
983	1.447344549
984	1.443850257
985	1.442509481
986	1.441324556
987	1.440434365
988	1.43880574
989	1.437187276
990	1.435412084
991	1.433157372
992	1.432757266
993	1.429760631
994	1.429188453
995	1.42792903
996	1.426575138
997	1.425129054
998	1.421267168
999	1.418551612
