iter	Passed	Remaining
339	1344	2610
340	1347	2603
341	1348	2595
342	1351	2587
343	1353	2581
344	1359	2581
345	1362	2574
346	1364	2567
347	1366	2559
348	1368	2553
349	1391	2585
350	1394	2577
351	1396	2570
352	1398	2562
353	1400	2555
354	1402	2548
355	1404	2540
356	1407	2534
357	1409	2528
358	1412	2521
359	1414	2513
360	1416	2506
361	1418	2499
362	1422	2496
363	1424	2489
364	1432	2492
365	1434	2484
366	1436	2478
367	1440	2473
368	1445	2472
369	1448	2466
370	1451	2460
371	1453	2454
372	1456	2448
373	1462	2447
374	1469	2448
375	1472	2443
376	1477	2442
377	1480	2435
378	1482	2429
379	1485	2422
380	1487	2416
381	1493	2416
382	1497	2411
383	1499	2405
384	1509	2411
385	1512	2405
386	1514	2398
387	1517	2392
388	1522	2391
389	1524	2385
390	1527	2379
391	1529	2372
392	1532	2366
393	1538	2365
394	1540	2359
395	1542	2353
396	1545	2346
397	1547	2340
398	1553	2339
399	1559	2338
400	1561	2332
401	1569	2334
402	1571	2328
403	1574	2323
404	1577	2317
405	1579	2310
406	1585	2309
407	1587	2303
408	1589	2297
409	1592	2291
410	1593	2283
411	1595	2276
412	1600	2274
413	1602	2267
414	1604	2261
415	1605	2254
416	1607	2246
417	1608	2239
418	1610	2233
419	1615	2231
420	1617	2225
421	1619	2218
422	1620	2210
423	1622	2203
424	1623	2196
425	1625	2189
426	1631	2189
427	1633	2182
428	1635	2176
429	1638	2172
430	1640	2165
431	1644	2162
432	1651	2162
433	1653	2156
